Document_ID,High_Level_Narratives_List,Sub_Narratives_List,Text
EN_CC_100000.txt,"['CC: Controversy about green technologies', 'CC: Criticism of institutions and authorities', 'CC: Hidden plots by secret schemes of powerful groups']","['CC: Criticism of institutions and authorities: Criticism of national governments', 'CC: Hidden plots by secret schemes of powerful groups: Climate agenda has hidden motives', 'CC: Controversy about green technologies: Other', 'CC: Hidden plots by secret schemes of powerful groups: Blaming global elites']","Pentagon plans to serve LAB-GROWN MEAT to troops in the name of climate change 

 The Washington Free Beacon reported that BioMADE, a public-private partnership that has received more than $500 million from the DoD, is responsible for the endeavor. BioMADE announced on its website on June 3 that it is looking for new ideas to reduce the CO2 emissions from food production and transport at military sites. These ideas include ""novel cell culture methods suitable for the production of cultivated meat or protein"" – essentially a euphemism for lab-grown fake meat.

Lab-grown meat is a new technology where animal muscle and fat tissues are grown from modified animal cells in special equipment. This process uses a mix of chemicals, pressure and temperature to create meat that resembles beef, chicken and pork. Though still in the experimental stage, lab-grown meat has sparked a debate about its efficiency and ethics of producing meat without killing animals. (Related: Lab-made chicken meat grown from CANCER CELLS receives FDA approval - Are you ready to eat TUMOR nuggets?)

But according to a 2023 study by researchers at the University of California-Davis, the carbon footprint of lab-grown beef might be worse than that of the product it seeks to replace. It zoomed in on the use of highly refined or purified growth media, which is used to help animal cells multiply. They wrote that lab-grown meat using purified media in its production has a global warming potential four to 25 times greater than the average compared to the real thing.

Human knowledge is under attack! Governments and powerful corporations are using censorship to wipe out humanity's knowledge base about nutrition, herbs, self-reliance, natural immunity, food production, preparedness and much more. We are preserving human knowledge using AI technology while building the infrastructure of human freedom. Speak freely without censorship at the new decentralized, blockchain-power Brighteon.io. Explore our free, downloadable generative AI tools at Brighteon.AI. Support our efforts to build the infrastructure of human freedom by shopping at HealthRangerStore.com, featuring lab-tested, certified organic, non-GMO foods and nutritional solutions.

Critics argue that using U.S. troops to test lab-grown meat, which is still experimental and not widely available in stores, is inappropriate. Although the U.S. Department of Agriculture approved two California companies to sell cultured chicken to restaurants in 2023, some believe taxpayer money shouldn’t fund the lab-grown meat industry.

Jack Hubbard, executive director for the Center for the Environment and Welfare (CEW), was among the vocal critics of the plan. ""Taxpayer dollars should not be used to fund the lab-grown meat sector,"" he remarked.

""Our troops deserve better than to be served lab-grown meat, produced in bioreactors with immortalized cells and chemicals. Unfortunately, this effort is being driven by an agenda that is political and anti-farmer. Our soldiers should never be used as guinea pigs.""

Even Ethan Lane, vice president for government affairs at the National Cattlemen's Beef Association, has criticized the DoD research grant that bankrolled BioMADE.

""It is outrageous that the DoD is spending millions of taxpayer dollars to feed our heroes like lab rats,"" he said in a statement. ""This misguided research project is a giant slap in the face to everyone that has served our country. Our veterans and active-duty troops deserve so much better than this.""

""U.S. cattle producers raise the highest-quality beef in the world, with the lowest carbon footprint – and American troops deserve to be served that same wholesome, natural meat and not ultra-processed, lab-grown protein that is cooked up in a chemical-filled bioreactor.""

Watch this video about BioMADE's lab-grown meat for U.S. soldiers.

This video is from the Daily Videos channel on Brighteon.com.

Florida bill BANNING lab-grown meat awaits Gov. DeSantis’ signature.

The globalists are ""coming for your food,"" experts warn - ""plant-based"" tyranny will rule the world.

FDA approves lab-grown meat produced by Chinese firm linked to biowarfare program.

Study: Vegan FAKE MEAT products linked to cardiovascular issues."
EN_CC_100002.txt,"['CC: Criticism of institutions and authorities', 'CC: Hidden plots by secret schemes of powerful groups']","['CC: Criticism of institutions and authorities: Criticism of national governments', 'CC: Hidden plots by secret schemes of powerful groups: Blaming global elites']","Oxford Residents Mount Resistance Against the Sectioning of Their Streets 

 OXFORD RESIDENTS MOUNT RESISTANCE AGAINST THE SECTIONING OF THEIR STREETS

THE GREAT CLIMATE CON

Oxford residents are taking matters into their own hands and destroying the street zone sectioning barriers.

Oxford is going to be the centre of the resistance to the climate change madness in the UK.

.

Just recently there was a day of action by activists to kick start the year of fighting back. We predicted the UK was just getting started with their resistance, and here we have it. Taking matters into their own hands, Oxford residents are destroying street zoning barriers.

Now that’s quite beautiful to see.

Further action

There are further planned dates for activists to take to the streets in various forms of protest.

Piers Corbyn and friends are taking to the streets on Friday the 13th of January., Starting at Southwark tube in London.

Then an event which has potential to draw a large crowd with reports coming in people are making the trip down from as far as Manchester is taking place in Oxford on the 18th of February.

It’s very inspiring to see the people of the UK take matters into their own hands. This year is looking to be jam packed with resistance to The Climate Con. Continued coverage will be given on our website, newsletter and social media. Stay tuned for a disobedient 2023.

If you want to support the fight against The Climate Con, paid members get access to the 2nd part of The Climate Con Podcast. Or you can make a donation here.



The Liberty Beacon Project is now expanding at a near exponential rate, and for this we are grateful and excited! But we must also be practical. For 7 years we have not asked for any donations, and have built this project with our own funds as we grew. We are now experiencing ever increasing growing pains due to the large number of websites and projects we represent. So we have just installed donation buttons on our websites and ask that you consider this when you visit them. Nothing is too small. We thank you for all your support and your considerations … (TLB)



Comment Policy: As a privately owned web site, we reserve the right to remove comments that contain spam, advertising, vulgarity, threats of violence, racism, or personal/abusive attacks on other users. This also applies to trolling, the use of more than one alias, or just intentional mischief. Enforcement of this policy is at the discretion of this websites administrators. Repeat offenders may be blocked or permanently banned without prior warning.

say no to all the tyrants

do not let the fachist illuminati force human beings being forced into 15 minute prison cities which is a crime against humanity for a climate change scam this cabal invented to inslave us all."
EN_CC_100003.txt,"['CC: Criticism of climate movement', 'CC: Criticism of institutions and authorities']","['CC: Criticism of institutions and authorities: Criticism of political organizations and figures', 'CC: Criticism of climate movement: Ad hominem attacks on key activists']","Fonda Heads To Canada For Oil Sands Protest, Manages To Tick Everyone Off 

 Actress Jane Fonda’s latest performance as a climate change activist drew a slew of criticism as she protested the Alberta oil sands in the Canadian province.

Fonda was castigated by locals, ambushed by a social media reporter and criticized by a left-leaning provincial premier. On Wednesday, at an Edmonton, Alberta news conference, she condemned a fellow-progressive, Canadian Prime Minister Justin Trudeau, saying that “people shouldn’t be fooled by good-looking Liberals,” and accused him of “betraying” the Paris climate agreement.

Fonda claimed that, like President Barack Obama, her first impression of Trudeau was one of admiration: “When I heard that your prime minister, the shining hope at the … Paris climate talks, who talked so beautifully about needing to meet the requirements of the climate treaty, and respect and hold to the treaties with the Indigenous people, and so forth — such a heroic stance he took there,” Fonda said. “And yet he has betrayed every one of the things that he committed to in Paris.

“I guess the lesson is we shouldn’t be fooled by good-looking liberals, no matter how well spoken they are. What a disappointment.”

But there was disappointment in the remarks of Alberta’s premier, Rachel Notley, who leads the left-leaning provincial New Democratic Party. She called Fonda “tone deaf” and “ill-informed.”

Fonda received an invitation from the Alberta government to discuss the oil sands but she refused.

“I would suggest if someone was going to come to Alberta … [and] fly over a city that is going through a significant economic downturn, that’s just been through the largest natural disaster in the history of Canada, and then lecture them about where they should get jobs elsewhere, first of all, that’s super tone deaf,” Notley said.

On the first day of her oil sands protest, as she strolled through nearby Fort McMurray, Fonda was ambushed by social media reporter Robbie Picard.

Picard, who hosts the Facebook group OilSands Strong, peppered Fonda with questions about the oil sands, asking her if she was aware of how many First Nations businesses have invested money in the project.

The episode was captured on video by a CBC journalist who was attempting to interview the actress. Fonda did not address any of the questions but insisted, “I’m on your side.”"
EN_CC_100004.txt,"['CC: Criticism of institutions and authorities', 'CC: Criticism of climate movement', 'CC: Controversy about green technologies']","['CC: Controversy about green technologies: Other', 'CC: Criticism of climate movement: Climate movement is alarmist', 'CC: Criticism of climate movement: Climate movement is corrupt', 'CC: Criticism of climate movement: Ad hominem attacks on key activists', 'CC: Controversy about green technologies: Renewable energy is costly', 'CC: Controversy about green technologies: Renewable energy is unreliable', 'CC: Criticism of institutions and authorities: Criticism of political organizations and figures']","A Tesla Owner Just Exposed A Sick Secret About Electric Cars… 

 A Tesla Owner Just Exposed A Sick Secret About Electric Cars…

The left has been preaching global warming, cooling, climate change, and end-of-the-world nonsense since before many of us were born.

In his book An Inconvenient Truth: The Crisis of Global Warming, Al Gore attempted to persuade everyone that the globe was overheating.

Democrats are always negotiating deals that place the United States at a competitive disadvantage with other countries, some of whom are our foes, such as Communist China.

They manipulate children into doing their bidding by convincing them that they only have a few years to live.

For them, it’s a pretty decent racket. However, there is another viewpoint.

Economic observers have long known that there are no free lunches, and perhaps it’s time that electric-car fans did as well.

Leftists extol Teslas and other electric cars as cure-alls for fossil fuels’ woes – even when it comes to something as simple as their tires – but disregard the tremendous environmental damage these vehicles cause.

Brad Templeton, a Forbes contributor, related a story of his electric car tearing through pricey tires at breakneck speed.

Despite praising the many advantages of electric vehicles over traditional internal combustion engines, Templeton admitted that the requirement for tire replacement at short intervals is an inconvenient downside.

“The doozy was needing new tires at around 28,000 miles,” Temple writes in “Electric Vehicle Maintenance Is Super-Cheap, But The Dark Secret Is Tires” from last month.

“That was too early, far before their rated life.”

“One reason for this was a stupid mistake on my part. In the past, I’ve taken my gasoline cars in for regular service, and they were rotating my tires as needed during this service. Not taking my EV in for service, I never got the rotation done. That not only meant the drive tires of my car wore out faster, it also meant I could not make a warranty claim on them. Lesson learned.”

Electric vehicles do incur charges for what is classified as a repair rather than maintenance. Many Tesla 12v batteries have been reported to fail, albeit most are still under warranty. If you chip a windshield, bang a mirror, or get a car burglary, parts for premium cars are always pricey. He admits that neglecting to rotate the tires properly may have been his fault, but he contends that the added weight of his electric car, along with the necessity for high-efficiency, low-noise tires, meant an expensive purchase was always on the horizon. Apart from that, he characterizes the advantages of owning an electric vehicle as a world of guilt-free driving.

Like Pete Buttigieg, who urged average Americans to buy electric cars to avoid high gas costs while ignoring the $56,000 price tag, which has already proven to be a money trap.

Nonetheless, in light of this revelation, it appears that the tradeoff of electric vehicles – fewer environmental impacts for a higher price – is having the opposite effect.

Regular tread replacement will have an impact on the environment, both because of the fossil fuels required to manufacture them and because wear and tear contribute more harmful microplastics to the environment.

Given that modern tires contain petroleum-based plastics, a car tire requires between 7 and 22 gallons of oil to manufacture, according to a National Geographic article.

Somehow, one of these is frowned upon (tar sands), but the other three- cobalt, nickel and lithium mines (necessary for EV batteries) are “green”? 🤔 pic.twitter.com/iahDDqZRls

— Patrick De Haan ⛽️📊 (@GasBuddyGuy) November 11, 2021

Microplastics become embedded in shrimp gills and guts, according to a study conducted by John Weinstein, a professor of physiology at The Citadel in Charleston, South Carolina.

“Somehow, one of these is frowned upon (tar sands), but the other three- cobalt, nickel, and lithium mines (necessary for EV batteries) are “green?” Author Patrick De Haan wrote of the deadly bargain greenies have made with batteries made from land-scarred processes.

While proponents of electric vehicles argue that they are better for the environment, it is important to remember that there is no such thing as a free lunch, and environmental costs are rising faster than ever before."
EN_CC_100005.txt,['CC: Criticism of climate movement'],"['CC: Criticism of climate movement: Climate movement is alarmist', 'CC: Criticism of climate movement: Other']","Climate Crazies Fail in Attempt to Vandalize Another Classic Work of Art 

 Another of the world’s most recognized and most valuable pieces of art was the target of climate-change activists. Climate crazies tried — and failed — to glue themselves to Edvard Munch’s 1893 painting “The Scream” in Oslo on Friday.

It was yet another example of climate change activists using priceless works of art to protest the use of fossil fuels, which climate zealots believe is leading to global warming. In October, climate activists attacked “Girl with a Pearl Earring” by Johannes Vermeer in The Hague. Climate hysterics were also responsible for an attack on Van Gogh’s “Sunflowers” and John Constable’s “The Hay Wain” in London over the summer.

The new climate-related vandalism fad seems to have begun with an attack on Da Vinci’s “Mona Lisa” in which a climate fanatic feigned a disability in order to get close enough to smear a pastry on the painting.

In addition, “Peach Trees in Blossom” by Van Gogh; “My Heart’s in the Highlands” by Horatio McCulloch; “Tomson’s Aeolian Harp” by J.M.W. Turner; “The Last Supper” by Giampietrino; “Sistine Madonna” by Raphael; and “Haystacks” by Monet have been targeted by climate hysterics since May.

As of yet, none of the artwork has been damaged, due to being protected by glass.

Video of Friday’s attack shows two young climate vandals attempting to glue themselves to the artwork. Police apprehended the hooligans, and reported there was some glue residue on the glass that protects the paintings.

“I scream for people dying,” one of the activists shouted.

“I scream when lawmakers ignore science,” the other shouted.

The Norwegian climate activist group Stopp Oljeletinga, which translates to “Stop Oil Exploration,” claimed responsibility for the attack.

The group demands that the Norwegian government declare “an immediate halt to all further exploration for oil on the Norwegian continental shelf,” and present “a concrete plan for fair adjustment for today’s oil workers.”

A spokesperson for the group claimed that the vandalism was an attempt to “pressure lawmakers into stopping oil exploration.”

“We are campaigning against ‘Scream’ because it is perhaps Norway’s most famous painting,” said Astrid Rem, a spokesperson for Stopp Oljeletinga. “There have been lots of similar actions around Europe. They have managed something that no other action has managed: achieve an extremely large amount of coverage and press.”

But there’s good press and there’s bad press. These crazy antics are of the bad variety.

Norway is one of the world’s top oil exporters and provides oil and natural gas to much of Europe, a continent in the midst of a serious energy crunch brought about partly by the war in Ukraine. Russia, the largest supplier of natural gas to Europe, has severely restricted supplies and has shut down the Nord Stream 2 pipeline, which it claims was sabotaged.

Without much-needed Norwegian fossil fuels, Europe could be in for an extremely cold winter.

The art world has acknowledged their concern over the new phenomenon:

“In recent weeks, there have been several attacks on works of art in international museum collections. The activists responsible for them severely underestimate the fragility of these irreplaceable objects, which must be preserved as part of our world cultural heritage,” read a statement signed by approximately one hundred gallery directors and museums.

These climate crazies are apparently willing to allow a continent to freeze this winter over their fears of an over-hyped “problem” peddled by globalists who flew more than 400 carbon-spewing private jets to COP27 in Egypt last week. If they truly believe the hype surrounding climate change, they’re targeting the wrong thing."
EN_CC_100007.txt,['Other'],['Other'],"ESG in action: Unity Foods partners with The Green Ark to recycle plastic waste 

 Karachi - Unity Foods continues to showcase a strong commitment to ESG principles through a partnership with The Green Ark (TGA). A MoU was signed to this effect between both companies whereby TGA will collect and transform scrap materials from Unity Foods to create a diverse array of recycled products intended for reuse. The initiative aims to facilitate the circular economy by mitigating the impact of single-use plastics that contribute significantly towards the deterioration of global ecosystems.

Unity Foods regularly undertakes lasting projects that align with its objectives to reduce the impact of conventional industrialisation on the environment. Under the current partnership with The Green Ark, a leading recycling solutions provider, Unity Foods will not only ensure the traceability of its packaging waste but also highlight a robust commitment to a greener environment by contributing to the circular economy. With an average of more than 13,000 kilogrammes of waste every month including items like garbage debris, oily pouches, plastic jerry cans, tin scraps, plastic bags, and cardboard cartons, a substantial amount of materials will be recycled which will not end up in landfills or incinerators that ultimately damage nature.

“Global warming is a present and potent threat, especially for Pakistan which despite producing a negligible level of greenhouse gases, faces the brunt of the consequences of this global phenomenon. At Unity Foods, we always aim to set a precedent, particularly with our ESG practices that underscore our commitment to ensuring our children can inherit a safe and healthy planet. This partnership with The Green Ark is another step in this direction and we aim to continue commencing similar initiatives in the future,” commented Ms Nageen Rizvi, Head of Corporate Communications and Sustainability, Unity Foods at the signing ceremony. At the occasion, Mr Habib Elahi, CEO, The Green Ark said, “We are committed to reduce the carbon footprint through recycling waste into resin and building materials such as pavers and tiles made from end-of-cycle plastic waste. By this strategic partnership between Unity Foods and TGA, we can ensure that that waste generated is responsibly recycled and adds value in the circular economy.”"
EN_CC_100008.txt,['Other'],['Other'],"UK-based climate activists deflate tyres of SUVs in 18 countries. This is why they did it. 

 A group of UK-based climate activists, called the Tyre Extinguishers, is moving around deflating the tyres of parked SUVs (sports utility vehicles) on roads in an effort to combat global warming.

The group has claimed credit for tyre-deflating operations in American cities including New York City, Boston, Chicago and San Francisco, and cities in England, Canada, France, Spain, Germany and Italy among others, according to a report by Fox News.

“Reports coming in of very angry #CarShaggers who are upset they can’t drive their massive tanks around Lisbon. Oh no! Welcome to the fun, Portugal! We will make SUVs history,” the group posted on Twitter along with an image of a Portuguese-language pamphlet the activists left on one of the targeted SUVs.

On their own website, the “Tyre Extinguishers” who believe in guerilla climate activism explain why they are protesting against SUVs. The group’s website has details and instructions on how to quickly deflate tires on parked cars. It also has a template for pamphlets that activists can use during their operations. Once the person deflates the tyres, they leave a document with a headline stating, “ATTENTION - your gas guzzler kills,” on the vehicle’s windshield explaining to its owner why such action was taken.

“You’ll be angry, but don’t take it personally. It’s not you, it’s your car. We did this because driving around in urban areas in your massive vehicle has huge consequences for others,” the pamphlet reads.

NEW: FIRST ACTION IN PORTUGAL! LISBON SUVS DISARMED 🇵🇹— The Tyre Extinguishers (@T_Extinguishers) June 1, 2023

Reports coming in of very angry #CarShaggers who are upset they can't drive their massive tanks around Lisbon. Oh no! Welcome to the fun, Portugal!

We will make SUVs history. Find out more here: https://t.co/cmqm5IOeg7 pic.twitter.com/lDi9AZWUjv

“We are people from all walks of life with one aim: To make it impossible to own a huge polluting 4x4 in the world’s urban areas,” the group’s website adds.

“We are defending ourselves against climate change, air pollution and unsafe drivers. We do this with a simple tactic: Deflating the tyres of these massive, unnecessary vehicles, causing inconvenience for their owners,” the website points out.

Tyre Extinguishers is a “leaderless, autonomous movement of groups that act independently,” according to their website.

“SUVs and 4x4s are a disaster for our health, our public safety, and our climate. Bigger and bigger cars are dominating our towns and cities, all so a privileged few can flaunt their wealth. Because governments and politicians have failed to protect us from this danger, we must protect ourselves. We want to make it impossible to own a huge polluting 4x4 in the world’s urban areas. We do this by deflating the tyres of these massive, unnecessary vehicles, causing inconvenience and expense for their owners,” says the website of the organisation."
EN_CC_100009.txt,['Other'],['Other'],"Interview: Chinese wisdom aids sustainable development of new World Heritage Site 

 BEIJING, Sept. 17 (Xinhua) -- The Cultural Landscape of Old Tea Forests of the Jingmai Mountain in Pu'er, southwest China, embodies the wisdom of China's agrarian culture and is an example of positive interaction between people and nature, and of their sustainable development, a Chinese official has said.

Li Qun, deputy minister of culture and tourism and head of the National Cultural Heritage Administration, made the remarks in an interview with Xinhua. The site was inscribed on the UNESCO World Heritage List on Sunday during the extended 45th session of the World Heritage Committee ongoing in Riyadh, Saudi Arabia.

With the addition of this new listing, China's number of UNESCO World Heritage sites has risen to 57. The Cultural Landscape of Old Tea Forests of the Jingmai Mountain in Pu'er is the very first tea-themed world cultural heritage site globally.

On what makes this site stand out and on what sort of cultural insights it offers, Li said the cultural landscape comprises five ancient tea forests, nine traditional villages and three protective forests, which maintain their vitality to this day.

""According to archaeological findings, the cultivation of tea trees in ancient China can be traced back over 6,000 years,"" Li said. ""Subsequently, tea culture and the practice of growing and consuming tea spread from China to neighboring countries and beyond.""

The cultural landscape has resulted in a unique protection system combining government management with grassroots governance, which ensures the protection of cultural and biological diversity and the sustainable use of natural resources, Li said.

This heritage, he said, also demonstrates the unique tradition of the complementary use of natural resources in mountainous environments by many of China's ethnic groups.

Its success in achieving World Heritage Site status is ""a significant achievement in presenting an authentic picture of ancient and modern China to the world,"" the official said.

China plans to implement preservation and management initiatives in five key areas, Li said.

Emphasizing the importance of prioritizing protection and planning ahead, Li highlighted the need for the coordinated planning of protection and management measures for ancient tea forests, villages and traditional residential architecture. Such an approach aims to strike a balance between heritage preservation and development.

Furthermore, China intends to invest in research on core technologies to enhance its monitoring capabilities for ancient tea forests as well as rare flora and rare fauna, and its capabilities for climate change responses.

To promote the sustainable development of its heritage sites, China aims to improve the participation mechanism for locals and other stakeholders. The involvement of local communities, particularly people from younger generations, will be encouraged and guided to contribute to the dissemination of tea culture and the growth of the tea industry.

China will continue to delve into the history of the tea industry, explore the philosophical depth of tea culture, and elucidate the global influence of Chinese tea culture. The country seeks to tap into the value of this heritage and promote its traditional culture further.

The official said that efforts are underway to promote the effective utilization and regulated development of cultural World Heritage Sites, aiming to breathe new life into these invaluable treasures. ■"
EN_CC_100010.txt,['Other'],['Other'],"Leveraging Chinese expertise to help Pakistan expedite real estate growth 

 Pakistan’s collaboration with Chinese construction companies offers a unique opportunity to leverage their vast expertise to expedite its infrastructure and real estate development and adopt efficient construction techniques while ensuring high-quality standards and promoting sustainable practices.

Dr. Liaqat Ali Shah, Head of Policy CPEC in the Centre of Excellence for CPEC, said this while talking to WealthPK.

“The Chinese investment under the CPEC is mainly focused on infrastructure. The largest part went into setting up power generation plants, railway tracks, and building highway infrastructure. The CPEC's western alignment was also the focus of new infrastructure projects, which connected Pakistan's most underdeveloped regions with Gwadar and major urban centres.”

“Owing to China’s rapid urbanization in the last two decades, Chinese construction companies have had a lot of exposure to efficient construction techniques, which has given them a lot of expertise in these fields,” he said.

“Collaborating with Chinese construction firms allows Pakistan to benefit from these high-quality standards, contributing to the construction of a durable and resilient infrastructure. This is particularly crucial in regions prone to natural disasters, as the expertise garnered from the Chinese practices can help in designing and constructing buildings that can withstand various environmental challenges,” he opined.

“As the world collectively embraces the imperative of sustainable development, the Pak-China partnership aligns seamlessly with these global goals. Both nations recognize the importance of environment-friendly construction practices and adoption of green building materials.”

“Through joint research initiatives and knowledge-sharing, the collaboration will be instrumental in achieving the targets related to climate action and responsible consumption and production.”

“Implementing focused training programs and knowledge-sharing initiatives is crucial for cultivating a skilled and competitive construction workforce in Pakistan,” he suggested.

He further informed WealthPK that more than 5,000 trained and experienced Chinese engineers and workers and more than 2,000 Pakistani engineers and workers were involved in different projects under the CPEC.

According to the SBP Annual Report 2023, the construction industry recorded a contraction of 5.5 percent in FY23, after registering a moderate growth in the previous two years. Increase in input prices and wages, higher borrowing costs, and slower growth in development spending are the main factors which constrained the construction activity during FY23."
EN_CC_100011.txt,['Other'],['Other'],"Met Office issues urgent warning as 70mph winds set to hammer UK - check your area The fierce winds are accompanied by a surprising change in temperature. 

 UK weather maps: Met Office issues yellow warnings over 70mph winds

The fierce winds are accompanied by a surprising change in temperature.

Met Office forecasts strong winds for the north

Crushing waves will slam the UK’s shores while power cuts and travel delays are likely as 70mph batter the country.

The Met Office has placed a yellow weather warning for wind as strong gales are predicted for much of the northeast of the UK. The weather warning covers Highlands & Eilean Siar and Orkney & Shetland in Scotland.

However, some experts predict heavy winds will also hit other coastlines along the UK. The “spell of very windy weather” is likely to lead to “travel disruption”, the weather agency said.

This includes impacting coastal routes and sea fronts with large waves, as well as possible loss of power and other services.

Delays to road, air and ferry transport are also “likely”.

While the worst of the winds will hit along the coast, speeds could still reach a substantial 60mph inland.

The weather warning is in place until 11am, although winds will remain throughout the day for much of the country.

The weather agency said: “Winds will increase quickly towards dawn Saturday across the Northern Isles with gusts generally reaching 50-60mph but with a smaller chance of 70mph gusts. Winds will quickly ease from late morning.”

The winds will accompany slightly warmer temperatures than in recent days. The mercury is likely to reach 13C in Belfast and 12C in Glasgow, both typically in the colder regions of the UK.

However the country is still reeling from the impact of Storm Isha and Storm Jocelyn.

Don't miss...

Met Office verdict on horror snow deluge as maps show exact day it will hit [REVEAL]

UK's mega storm season explained as Met Office scientists say 'more may come' [INSIGHT]

New maps show exact date more storm chaos will wallop into Britain [ANALYSIS]

With the ground saturated in various regions, the flood risk remains high.

Nine flood warnings were last night in place across England alone, including an alert for River Ouse in York city centre. The river burst its banks this week.

The closely consecutive storms has been attributed to the recent positions of jetstreams influencing low-pressure systems from the Atlantic. However, weather experts have also explained to Express.co.uk that climate change is likely having an impact on the number and severity of storms.

Met Office 5 day weather forecast

Today:

Outbreaks of rain slowly sinking south across northern Scotland, and slowing over the mainland. Elsewhere, dry with sunny spells, although cloudier later in the west with patchy drizzle. Very strong winds in the north, but lighter in the south. Mild.

Tonight:

Rain slowly returns north through the evening. Cloudy with drizzle in the north and west, but drier elsewhere with clear spells. Windy, with gales in the north. Mild for most.

Sunday:

On Sunday, remaining wet and windy in northwest. Generally dry in southeast, but cloudy at times, although some brighter spells possible. Very mild.

Outlook for Monday to Wednesday:

Turning more unsettled into the new working week, with some drier interludes, but less wet and windy than seen recently."
